Plot;Treatment;Basalt_type_exp;Dose_response_exp.;Sampled_on;Daysafterstart;EC;unit;EC_µS_cm;pH;DOC_raw;DOC;DIC_raw;DIC_minus_blanks;DIC;DTC_raw;DTC;Unit;measured_pH_EC_on;measured_by;Notes;Alkalinity_mg_l_CaCO3;Alkalinity_meq_l;Alk_meq_l_corr;NH4-N_mgN_l;NO2-N_mgN_l;NO3-N_mgN_l;PO4-P_mgP_l;SO4_mgSO4_l;Cl_mgCl_l;Ca_mg_l;Fe_mg_l;K_mg_l;Mg_mg_l;Na_mg_l;Ni_mg_l;P_mg_l;Al_mg_l;Si_mg_l
3;Huhnerberg_02;N;Y;25/10/2023;155;258.3;µs/cm;258.30;7.20;35.971;32.245;3.826;6.966;6.966;39.796;39.21;mg/l;;Sarah;;31;0.6;0.61;0.11;0.0002;9.96;0.27;16;15;16.964;0.156;27.120;5.435;5.744;<0,001;;0.746;3.643
4;Bolsdorfer_50;Y;N;25/10/2023;155;364;µs/cm;364.00;6.93;76.187;72.461;21.956;25.096;25.096;98.143;97.557;mg/l;;Sarah;;108;2.2;2.15;0.34;0.0000;5.80;0.01;9;29;17.269;0.173;22.473;6.141;25.658;<0,001;;0.467;7.911
5;Huhnerberg_04;N;Y;25/10/2023;155;394.3;µs/cm;394.30;6.64;117.662;113.936;7.213;10.353;10.353;124.875;124.289;mg/l;;Sarah;;48;1.0;0.96;0.45;0.0007;9.22;0.02;7;66;27.229;0.234;24.720;11.160;4.847;<0,001;;0.985;4.979
6;Lime_02;Y;N;25/10/2023;155;691.1;µs/cm;691.10;6.76;259.727;256.001;16.528;19.668;19.668;276.256;275.67;mg/l;;Sarah;;167;3.3;3.33;0.19;0.0014;18.87;0.01;13;87;54.425;0.331;52.484;19.145;9.201;<0,001;;1.500;4.565
7;Huhnerberg_08;N;Y;25/10/2023;155;247.7;µs/cm;247.70;7.01;41.056;37.33;5.449;8.589;8.589;46.505;45.919;mg/l;;Sarah;;50;1.0;1.00;0.22;0.0012;9.53;0.10;12;13;12.818;0.171;27.240;4.220;5.026;<0,001;;0.804;4.056
8;Huhnerberg_12;N;Y;25/10/2023;155;248.8;µs/cm;248.80;6.73;68.874;65.148;4.369;7.509;7.509;73.243;72.657;mg/l;;Sarah;;52;1.0;1.04;0.08;0.0000;4.95;0.02;7;35;15.175;0.284;18.840;6.795;5.554;<0,001;;0.947;5.486
9;Huhnerberg_50;Y;Y;25/10/2023;155;351.1;µs/cm;351.10;7.45;48.668;44.942;8.644;11.784;11.784;57.312;56.726;mg/l;;Sarah;;67;1.3;1.33;0.17;0.0014;16.92;0.53;20;13;24.033;0.180;16.058;11.236;11.880;<0,001;;0.506;6.182
10;Lime_02;Y;N;25/10/2023;155;557.6;µs/cm;557.60;6.68;94.887;91.161;7.03;10.17;10.17;101.917;101.331;mg/l;;Sarah;;56;1.1;1.13;0.10;0.0015;21.89;0.03;21;54;30.175;0.147;48.796;12.251;5.797;<0,001;;0.649;3.740
11;Control;Y;Y;25/10/2023;155;229;µs/cm;229.00;7.11;34.157;30.431;3.957;7.097;7.097;38.114;37.528;mg/l;;Sarah;;38;0.8;0.75;0.25;0.0019;6.18;0.17;10;20;13.822;0.128;18.775;4.171;3.205;<0,001;;0.413;3.557
12;Huhnerberg_20;N;Y;25/10/2023;155;288.5;µs/cm;288.50;6.83;42.839;39.113;6.083;9.223;9.223;48.923;48.337;mg/l;;Sarah;;40;0.8;0.80;0.17;0.0017;14.25;0.13;13;18;16.178;0.140;19.418;6.262;7.741;<0,001;;0.559;4.692
13;Eifelgold_50;Y;N;25/10/2023;155;216.9;µs/cm;216.90;7.43;30.989;27.263;7.365;10.505;10.505;38.354;37.768;mg/l;;Sarah;;51;1.0;1.02;0.18;0.0019;3.56;0.33;7;15;8.187;0.165;28.113;2.825;7.618;<0,001;;0.590;6.797
14;Huhnerberg_50;Y;Y;25/10/2023;155;394;µs/cm;394.00;6.83;69.567;65.841;10.065;13.205;13.205;79.631;79.045;mg/l;;Sarah;;72;1.4;1.44;0.28;0.0018;16.55;0.20;23;25;22.964;0.123;20.880;8.662;12.796;<0,001;;0.345;4.633
15;Bolsdorfer_50;Y;N;25/10/2023;155;415.1;µs/cm;415.10;7.34;57.28;53.554;30.17;33.31;33.31;87.45;86.864;mg/l;;Sarah;;163;3.3;3.25;0.11;0.0023;7.37;0.32;10;12;27.338;0.160;28.495;9.436;15.393;<0,001;;0.348;6.553
16;Huhnerberg_30;N;Y;25/10/2023;155;191.5;µs/cm;191.50;7.25;37.942;34.216;7.444;10.584;10.584;45.386;44.8;mg/l;;Sarah;;60;1.2;1.21;0.15;0.0020;2.27;0.71;8;8;8.426;0.153;24.644;3.262;3.815;<0,001;;0.253;3.307
17;Lime_02;Y;N;25/10/2023;155;247.7;µs/cm;247.70;6.59;82.633;78.907;7.293;10.433;10.433;89.926;89.34;mg/l;;Sarah;;61;1.2;1.22;0.10;0.0020;5.72;0.21;8;31;21.436;0.260;15.949;5.668;1.644;<0,001;;0.623;3.593
18;Control;Y;Y;25/10/2023;155;192.4;µs/cm;192.40;7.20;40.109;36.383;6.148;9.288;9.288;46.257;45.671;mg/l;;Sarah;;46;0.9;0.92;0.10;0.0022;3.08;1.16;5;12;10.375;0.267;21.655;3.911;3.695;<0,001;;0.645;3.184
19;Huhnerberg_50;Y;Y;25/10/2023;155;293.8;µs/cm;293.80;7.79;24.186;20.46;22.009;25.149;25.149;46.195;45.609;mg/l;;Sarah;;125;2.5;2.50;0.14;0.0016;1.09;0.27;5;9;14.487;0.091;20.422;9.395;8.763;<0,001;;0.122;3.792
20;Bolsdorfer_50;Y;N;25/10/2023;155;315.7;µs/cm;315.70;6.93;90.09;86.364;16.042;19.182;19.182;106.132;105.546;mg/l;;Sarah;;99;2.0;1.98;0.14;0.0017;2.85;0.07;6;28;17.727;0.223;22.505;5.865;11.978;<0,001;;0.560;5.349
21;Eifelgold_50;Y;N;25/10/2023;155;320.3;µs/cm;320.30;6.79;71.076;67.35;13.824;16.964;16.964;84.9;84.314;mg/l;;Sarah;;80;1.6;1.60;0.09;0.0021;1.68;0.02;6;41;8.799;0.397;34.811;3.156;18.840;<0,001;;0.780;10.611
1;Control;Y;Y;11/12/2023;202;95.78;µS/cm;95.78;6.73;22.012;18.285;2.054;5.366;5.366;24.066;23.651;mg/l;14/12/2023;Emma;;24;0.47;0.47;0.20;0.0004;1.06;0.234;2;5.0;15.9;0.211;18.5;5.23;3.72;0.006;;0.704;
2;Eifelgold_50;Y;N;11/12/2023;202;201;µS/cm;201.00;7.32;16.083;12.356;7.294;10.606;10.606;23.377;22.962;mg/l;14/12/2023;Emma;;43;0.86;0.86;0.06;0.0002;1.74;0.212;2;18.5;10.1;0.051;30.8;3.23;3.63;0.003;;0.220;
3;Huhnerberg_02;N;Y;11/12/2023;202;178.6;µS/cm;178.60;6.82;30.495;26.768;8.885;12.197;12.197;39.38;38.965;mg/l;14/12/2023;Emma;;58;1.16;1.16;0.09;0.0006;1.45;0.390;2;3.1;9.2;0.340;86.2;3.11;5.84;0.006;;1.112;
4;Bolsdorfer_50;Y;N;11/12/2023;202;175.9;µS/cm;175.90;6.81;21.49;17.763;10.635;13.947;13.947;32.125;31.71;mg/l;14/12/2023;Emma;;63;1.25;1.25;0.49;0.0003;1.68;0.129;2;5.8;27.8;0.140;22.7;10.68;15.00;0.007;;0.578;
5;Huhnerberg_04;N;Y;11/12/2023;202;137.2;µS/cm;137.20;7.35;19.923;16.196;2.35;5.662;5.662;22.273;21.858;mg/l;14/12/2023;Emma;;22;0.44;0.44;0.09;0.0003;3.33;0.369;4;11.1;8.3;0.080;16.4;3.21;2.03;0.003;;0.256;
6;Lime_02;Y;N;11/12/2023;202;243;µS/cm;243.00;6.97;26.04;22.313;3.358;6.67;6.67;29.398;28.983;mg/l;14/12/2023;Emma;;29;0.58;0.58;1.59;0.0002;10.53;0.222;6;16.2;25.1;0.233;67.7;7.69;5.06;0.006;;0.582;
7;Huhnerberg_08;N;Y;11/12/2023;202;92.45;µS/cm;92.45;6.76;18.438;14.711;2.094;5.406;5.406;20.532;20.117;mg/l;14/12/2023;Emma;;25;0.50;0.50;0.11;0.0001;1.49;0.260;4;1.5;11.2;0.174;22.7;4.51;4.92;0.007;;0.602;
8;Huhnerberg_12;N;Y;11/12/2023;202;104.6;µS/cm;104.60;6.91;16.96;13.233;1.933;5.245;5.245;18.894;18.479;mg/l;14/12/2023;Emma;;27;0.53;0.53;0.13;0.0001;1.96;0.272;2;6.1;7.2;0.086;9.5;3.06;2.42;0.004;;0.238;
9;Huhnerberg_50;Y;Y;11/12/2023;202;172.9;µS/cm;172.90;7.55;14.111;10.384;10.912;14.224;14.224;25.023;24.608;mg/l;14/12/2023;Emma;;58;1.15;1.15;0.11;0.0001;2.02;0.415;2;7.7;9.0;0.053;23.8;4.46;3.22;0.007;;0.123;
10;Lime_02;Y;N;11/12/2023;202;132.8;µS/cm;132.80;6.98;19.054;15.327;6.241;9.553;9.553;25.295;24.88;mg/l;14/12/2023;Emma;;44;0.87;0.87;0.17;0.0001;1.50;0.295;4;3.7;18.2;0.144;33.9;4.87;4.76;0.006;;0.389;
11;Control;Y;Y;11/12/2023;202;97.35;µS/cm;97.35;7.40;20.03;16.303;2.61;5.922;5.922;22.64;22.225;mg/l;14/12/2023;Emma;;25;0.50;0.50;0.10;0.0001;1.97;0.252;2;1.5;7.1;0.102;12.4;2.19;1.26;0.006;;0.375;
12;Huhnerberg_20;N;Y;11/12/2023;202;99.45;µS/cm;99.45;7.44;20.728;17.001;2.669;5.981;5.981;23.397;22.982;mg/l;14/12/2023;Emma;;25;0.49;0.49;0.10;0.0001;1.71;0.305;2;3.2;6.3;0.104;12.0;2.49;2.36;0.004;;0.396;
13;Eifelgold_50;Y;N;11/12/2023;202;97.22;µS/cm;97.22;6.68;17.509;13.782;2.251;5.563;5.563;19.76;19.345;mg/l;14/12/2023;Emma;;23;0.46;0.46;0.10;0.0001;1.27;0.585;4;3.5;4.4;0.095;13.4;1.53;4.12;0.003;;0.310;
14;Huhnerberg_50;Y;Y;11/12/2023;202;186.6;µS/cm;186.60;7.63;17.524;13.797;10.754;14.066;14.066;28.278;27.863;mg/l;14/12/2023;Emma;;60;1.20;1.20;0.56;0.0001;1.58;0.344;4;8.7;14.0;0.255;15.5;5.66;4.26;0.008;;0.135;
15;Bolsdorfer_50;Y;N;11/12/2023;202;165.5;µS/cm;165.50;7.37;20.408;16.681;9.834;13.146;13.146;30.242;29.827;mg/l;14/12/2023;Emma;;59;1.17;1.17;0.21;0.0001;1.13;0.448;4;6.6;26.8;0.210;30.0;10.54;6.97;0.007;;0.352;
16;Huhnerberg_30;N;Y;11/12/2023;202;132.3;µS/cm;132.30;7.59;12.678;8.951;6.449;9.761;9.761;19.127;18.712;mg/l;14/12/2023;Emma;;41;0.81;0.81;0.06;0.0002;1.42;0.758;2;3.0;7.7;0.067;17.9;3.29;2.11;0.004;;0.097;
17;Lime_02;Y;N;11/12/2023;202;222.3;µS/cm;222.30;7.03;22.741;19.014;10.608;13.92;13.92;33.349;32.934;mg/l;14/12/2023;Emma;;63;1.26;1.26;0.28;0.0002;1.56;0.522;4;18.3;31.2;0.241;59.9;7.89;4.33;0.008;;0.343;
18;Control;Y;Y;11/12/2023;202;136.1;µS/cm;136.10;6.81;17.642;13.915;2.996;6.308;6.308;20.638;20.223;mg/l;14/12/2023;Emma;;37;0.74;0.74;0.20;0.0001;2.48;1.670;4;5.9;11.0;0.234;46.3;4.26;3.43;0.005;;0.380;
19;Huhnerberg_50;Y;Y;11/12/2023;202;147;µS/cm;147.00;7.21;11.208;7.481;5.29;8.602;8.602;16.498;16.083;mg/l;14/12/2023;Emma;;47;0.93;0.93;0.06;0.0003;0.68;0.366;4;8.8;7.5;0.134;55.6;3.70;5.53;0.007;;0.160;
20;Bolsdorfer_50;Y;N;11/12/2023;202;129.6;µS/cm;129.60;7.54;14.555;10.828;5.656;8.968;8.968;20.21;19.795;mg/l;14/12/2023;Emma;;43;0.86;0.86;0.06;0.0001;0.72;0.248;2;5.9;7.5;0.106;15.7;2.70;4.02;0.003;;0.187;
21;Eifelgold_50;Y;N;11/12/2023;202;165.2;µS/cm;165.20;7.20;18.784;15.057;5.155;8.467;8.467;23.939;23.524;mg/l;14/12/2023;Emma;;43;0.86;0.86;0.15;0.0004;1.00;0.266;2;15.8;21.9;0.332;30.2;7.31;12.02;0.008;;0.513;
1;Control;Y;Y;27/02/2024;280;678.5;µS/cm;678.50;7.10;10.657;7.092;-0.231;2.952;2.952;10.426;10.044;mg/l;;;;20;0.40;0.40;0.202;0.0001;1.27;0.31;1.9;1.4;4.126;0.047;7.325;1.138;1.508;0.000;;0.240;
2;Eifelgold_50;Y;N;27/02/2024;280;225.7;µS/cm;225.70;7.38;13.135;9.57;3.829;7.012;7.012;16.964;16.582;mg/l;;;;45;0.91;0.91;0.085;0.0001;2.64;0.34;1.4;2.3;6.054;0.056;16.686;2.071;2.897;0.001;;0.254;
3;Huhnerberg_02;N;Y;27/02/2024;280;176.8;µS/cm;176.80;7.54;20.246;16.681;4.5;7.683;7.683;24.747;24.365;mg/l;;;;54;1.08;1.08;0.107;0.0003;3.55;0.36;1.9;1.7;3.207;0.144;31.807;0.923;1.805;0.005;;0.409;
4;Bolsdorfer_50;Y;N;27/02/2024;280;116.8;µS/cm;116.80;7.09;14.029;10.464;3.28;6.463;6.463;17.309;16.927;mg/l;;;;41;0.82;0.82;0.069;0.0001;2.24;0.24;1.6;1.8;4.198;0.074;16.432;1.512;3.303;0.002;;0.217;
5;Huhnerberg_04;N;Y;27/02/2024;280;88.53;µS/cm;88.53;7.20;11.442;7.877;1.591;4.774;4.774;13.033;12.651;mg/l;;;;31;0.62;0.62;0.070;0.0003;1.54;0.39;1.0;1.5;4.043;0.047;10.019;1.511;0.927;0.001;;0.196;
6;Lime_02;Y;N;27/02/2024;280;170.9;µS/cm;170.90;7.19;14.542;10.977;8.921;12.104;12.104;23.463;23.081;mg/l;;;;66;1.31;1.31;0.123;0.0005;1.70;0.22;1.0;1.7;8.600;0.091;23.685;2.046;0.981;0.001;;0.174;
7;Huhnerberg_08;N;Y;27/02/2024;280;90.91;µS/cm;90.91;7.36;12.562;8.997;1.235;4.418;4.418;13.796;13.414;mg/l;;;;26;0.51;0.51;0.026;0.0003;1.92;0.27;1.6;1.0;3.869;0.063;12.068;1.473;1.076;0.001;;0.266;
8;Huhnerberg_12;N;Y;27/02/2024;280;83.1;µS/cm;83.10;7.32;10.157;6.592;1.701;4.884;4.884;11.858;11.476;mg/l;;;;28;0.56;0.56;0.043;0.0002;1.13;0.31;1.4;0.7;4.565;0.044;7.930;2.223;1.368;0.002;;0.147;
9;Huhnerberg_50;Y;Y;27/02/2024;280;94.31;µS/cm;94.31;7.41;7.938;4.373;6.872;10.055;10.055;14.811;14.429;mg/l;;;;31;0.62;0.62;0.091;0.0001;1.12;0.50;1.7;1.2;4.503;0.029;9.564;2.256;1.330;0.002;;0.084;
10;Lime_02;Y;N;27/02/2024;280;128.6;µS/cm;128.60;7.42;10.324;6.759;4.869;8.052;8.052;15.193;14.811;mg/l;;;;40;0.79;0.79;0.121;0.0002;2.11;0.30;2.0;1.5;9.167;0.038;17.846;2.504;1.669;0.000;;0.118;
11;Control;Y;Y;27/02/2024;280;89.65;µS/cm;89.65;7.98;13.578;10.013;1.11;4.293;4.293;14.688;14.306;mg/l;;;;25;0.50;0.50;0.131;0.0001;1.90;0.27;2.0;1.5;5.327;0.059;7.298;1.605;1.040;0.002;;0.247;
12;Huhnerberg_20;N;Y;27/02/2024;280;142.6;µS/cm;142.60;7.29;25.123;21.558;4.904;8.087;8.087;30.028;29.646;mg/l;;;;54;1.07;1.07;0.130;0.0002;2.71;0.30;2.0;1.5;8.243;0.125;12.838;3.465;1.772;0.005;;0.435;
13;Eifelgold_50;Y;N;27/02/2024;280;103.5;µS/cm;103.50;7.68;10.383;6.818;2.52;5.703;5.703;12.902;12.52;mg/l;;;;31;0.63;0.63;0.091;0.0001;1.09;0.53;2.0;1.5;2.657;0.042;14.381;1.068;1.907;0.002;;0.129;
14;Huhnerberg_50;Y;Y;27/02/2024;280;249.4;µS/cm;249.40;7.89;20.611;17.046;15.753;18.936;18.936;36.364;35.982;mg/l;;;;107;2.15;2.15;0.106;0.0004;1.68;0.31;2.0;1.5;9.169;0.104;32.154;3.861;2.020;0.005;;0.185;
15;Bolsdorfer_50;Y;N;27/02/2024;280;156.3;µS/cm;156.30;7.87;14.553;10.988;5.037;8.22;8.22;19.59;19.208;mg/l;;;;52;1.05;1.05;0.124;0.0002;3.53;0.26;2.0;1.5;5.693;0.072;14.311;1.723;2.836;0.001;;0.126;
16;Huhnerberg_30;N;Y;27/02/2024;280;120.8;µS/cm;120.80;7.45;9.822;6.257;4.465;7.648;7.648;14.287;13.905;mg/l;;;;47;0.94;0.94;0.104;0.0003;0.99;0.47;2.0;1.5;4.939;0.033;10.547;1.660;1.020;0.003;;0.045;
17;Lime_02;Y;N;27/02/2024;280;181.5;µS/cm;181.50;7.63;12.633;9.068;9.206;12.389;12.389;21.839;21.457;mg/l;;;;72;1.44;1.44;0.171;0.0004;3.12;0.57;2.0;1.5;8.677;0.056;25.548;2.119;1.041;0.001;;0.082;
18;Control;Y;Y;27/02/2024;280;80.72;µS/cm;80.72;7.14;11.072;7.507;-0.259;2.924;2.924;10.814;10.432;mg/l;;;;26;0.51;0.51;0.093;0.0001;1.40;2.09;2.0;1.5;3.723;0.064;9.464;1.266;1.005;0.002;;0.163;
19;Huhnerberg_50;Y;Y;27/02/2024;280;156.3;µS/cm;156.30;7.61;10.456;6.891;9.605;12.788;12.788;20.061;19.679;mg/l;;;;75;1.49;1.49;0.047;0.0001;1.54;0.30;2.0;1.5;11.505;0.059;7.344;6.107;2.241;0.004;;0.079;
20;Bolsdorfer_50;Y;N;27/02/2024;280;161.1;µS/cm;161.10;7.30;13.368;9.803;5.552;8.735;8.735;18.92;18.538;mg/l;;;;55;1.10;1.10;0.147;0.0001;4.36;0.46;2.0;1.5;4.722;0.068;20.159;1.748;3.701;0.001;;0.142;
21;Eifelgold_50;Y;N;27/02/2024;280;118.9;µS/cm;118.90;6.78;18.749;15.184;1.199;4.382;4.382;19.949;19.567;mg/l;;;;28;0.57;0.57;0.056;0.0001;4.66;0.52;2.0;1.5;6.028;0.105;9.191;2.279;1.981;0.001;;0.230;
1;Control;Y;Y;22/07/2024;426;201.8;µS/cm;201.80;7.52;21.399;22.567;4.418;4.418;4.418;16.981;18.149;mg/l;25/07/2024;Emma;;32.1;0.642;0.64;0.547;0.0008;9.116;0.430;13.5;4.7;13.88;0.085;17.56;3.17;2.77;0.003;;0.278;
2;Eifelgold_50;Y;N;22/07/2024;426;285.3;µS/cm;285.30;7.42;21.468;22.636;4.249;4.249;4.249;17.219;18.387;mg/l;25/07/2024;Emma;;29.6;0.592;0.59;0.378;0.0009;19.516;0.490;15.0;4.8;21.53;0.064;19.67;6.24;4.68;0.003;;0.234;
3;Huhnerberg_02;N;Y;22/07/2024;426;307.2;µS/cm;307.20;7.46;69.789;70.957;8.91;8.91;8.91;60.879;62.047;mg/l;25/07/2024;Emma;;72.1;1.442;1.44;0.476;0.0011;9.015;0.600;28.8;5.9;11.96;0.384;48.20;3.17;8.18;0.009;;0.754;
4;Bolsdorfer_50;Y;N;22/07/2024;426;288.1;µS/cm;288.10;7.13;24.343;25.511;3.899;3.899;3.899;20.444;21.612;mg/l;25/07/2024;Emma;;30.8;0.616;0.62;0.335;0.0022;19.216;0.540;16.9;6.4;14.93;0.089;26.24;4.53;9.71;0.003;;0.348;
5;Huhnerberg_04;N;Y;22/07/2024;426;221.8;µS/cm;221.80;7.51;21.117;22.285;2.972;2.972;2.972;18.145;19.313;mg/l;25/07/2024;Emma;;29.4;0.588;0.59;0.257;0.0015;12.982;0.400;14.7;4.9;18.80;0.116;12.90;5.52;3.25;0.005;;0.283;
6;Lime_02;Y;N;22/07/2024;426;247.3;µS/cm;247.30;7.42;29.78;30.948;3.484;3.484;3.484;26.296;27.464;mg/l;25/07/2024;Emma;;32.6;0.652;0.65;0.263;0.0021;13.003;0.950;17.9;6.1;15.58;0.120;25.20;4.44;4.60;0.006;;0.333;
7;Huhnerberg_08;N;Y;22/07/2024;426;493.3;µS/cm;493.30;7.06;21.959;23.127;0.431;0.431;0.431;21.527;22.695;mg/l;25/07/2024;Emma;;16.6;0.332;0.33;0.292;0.0016;17.004;0.340;17.2;5.3;19.89;0.102;15.31;5.67;3.11;0.004;;0.414;
8;Huhnerberg_12;N;Y;22/07/2024;426;220.2;µS/cm;220.20;7.2;23.65;24.818;3.483;3.483;3.483;20.167;21.335;mg/l;25/07/2024;Emma;;33.1;0.662;0.66;0.343;0.0016;12.673;0.440;14.6;1.5;15.24;0.098;19.39;4.50;3.05;0.003;;0.307;
9;Huhnerberg_50;Y;Y;22/07/2024;426;239;µS/cm;239.00;7.08;18.116;19.284;3.544;3.544;3.544;14.572;15.74;mg/l;25/07/2024;Emma;;15.8;0.316;0.32;0.340;0.0021;17.964;0.940;12.1;4.4;18.16;0.073;16.26;5.24;1.69;0.004;;0.271;
10;Lime_02;Y;N;22/07/2024;426;178;µS/cm;178.00;7.45;20.987;22.155;6.94;6.94;6.94;14.048;15.216;mg/l;25/07/2024;Emma;;38.4;0.768;0.77;0.371;0.0010;7.348;0.470;10.0;3.2;14.55;0.077;15.51;3.49;1.71;0.003;;0.423;
11;Control;Y;Y;22/07/2024;426;167.4;µS/cm;167.40;7.21;22.729;23.897;4.202;4.202;4.202;18.527;19.695;mg/l;25/07/2024;Emma;;30.1;0.602;0.60;0.213;0.0013;7.471;0.380;11.5;3.4;13.53;0.093;13.67;3.29;1.63;0.003;;0.314;
12;Huhnerberg_20;N;Y;22/07/2024;426;327.6;µS/cm;327.60;7.28;31.841;33.009;8.266;8.266;8.266;23.575;24.743;mg/l;25/07/2024;Emma;;51.8;1.036;1.04;0.450;0.0011;19.212;0.590;15.6;3.8;12.78;0.125;44.68;3.97;6.50;0.008;;0.385;
13;Eifelgold_50;Y;N;22/07/2024;426;290.7;µS/cm;290.70;7;16.299;17.467;0.538;0.538;0.538;15.761;16.929;mg/l;25/07/2024;Emma;;14.4;0.288;0.29;0.171;0.0009;23.253;0.800;14.5;4.1;18.87;0.075;25.28;5.94;2.56;0.003;;0.287;
14;Huhnerberg_50;Y;Y;22/07/2024;426;250.7;µS/cm;250.70;7.49;21.251;22.419;6.172;6.172;6.172;15.079;16.247;mg/l;25/07/2024;Emma;;45.2;0.904;0.90;0.434;0.0007;12.499;0.400;18.5;4.3;24.12;0.079;13.53;5.26;3.23;0.003;;0.125;
15;Bolsdorfer_50;Y;N;22/07/2024;426;299.1;µS/cm;299.10;7.34;24.15;25.318;3.313;3.313;3.313;20.837;22.005;mg/l;25/07/2024;Emma;;28.7;0.574;0.57;0.381;0.0002;20.171;0.700;18.3;3.7;17.73;0.117;33.62;3.92;3.90;0.004;;0.261;
16;Huhnerberg_30;N;Y;22/07/2024;426;205;µS/cm;205.00;7.3;17.228;18.396;5.151;5.151;5.151;12.077;13.245;mg/l;25/07/2024;Emma;;27.2;0.544;0.54;1.389;0.0005;10.015;1.030;13.0;1.5;13.49;0.077;16.93;4.29;2.18;0.004;;0.136;
17;Lime_02;Y;N;22/07/2024;426;188.1;µS/cm;188.10;7.48;21.389;22.557;4.132;4.132;4.132;17.258;18.426;mg/l;25/07/2024;Emma;;24.4;0.488;0.49;0.334;0.0006;8.717;1.210;13.7;3.5;13.35;0.115;17.38;3.31;1.83;0.004;;0.236;
18;Control;Y;Y;22/07/2024;426;135.2;µS/cm;135.20;7.24;20.384;21.552;1.346;1.346;1.346;19.039;20.207;mg/l;25/07/2024;Emma;;28.0;0.560;0.56;0.367;0.0006;5.251;2.480;12.2;3.1;10.48;0.156;12.67;2.66;1.81;0.005;;0.321;
19;Huhnerberg_50;Y;Y;22/07/2024;426;201.2;µS/cm;201.20;7;16.67;17.838;3.216;3.216;3.216;13.454;14.622;mg/l;25/07/2024;Emma;;21.6;0.432;0.43;0.059;0.0006;12.506;0.910;12.7;3.8;10.14;0.108;23.36;2.57;2.22;0.003;;0.263;
20;Bolsdorfer_50;Y;N;22/07/2024;426;224;µS/cm;224.00;7.11;20.634;21.802;2.656;2.656;2.656;17.978;19.146;mg/l;25/07/2024;Emma;;20.7;0.414;0.41;0.041;0.0007;12.506;0.680;17.2;3.0;11.26;0.162;26.81;2.82;2.63;0.003;;0.344;
21;Eifelgold_50;Y;N;22/07/2024;426;265.9;µS/cm;265.90;7.19;25.742;26.91;2.655;2.655;2.655;23.088;24.256;mg/l;25/07/2024;Emma;;30.2;0.604;0.60;0.478;0.0002;13.898;0.550;22.9;6.5;16.89;0.131;24.40;4.68;5.38;0.005;;0.292;
