Plot;Treatment;Basalt_type_exp;Dose_response_exp.;Sampled_on;Daysafterstart;EC;unit;EC_µS_cm;pH;DOC_raw;DOC;DIC_raw;DIC_minus_blanks;DIC;DTC_raw;DTC;Unit;measured_pH_EC_on;measured_by;Notes;Alkalinity_mg_l_CaCO3;Alkalinity_meq_l;Alk_meq_l_corr;NH4-N_mgN_l;NO2-N_mgN_l;NO3-N_mgN_l;PO4-P_mgP_l;SO4_mgSO4_l;Cl_mgCl_l;Ca_mg_l;Fe_mg_l;K_mg_l;Mg_mg_l;Na_mg_l;Ni_mg_l;P_mg_l;Al_mg_l;Si_mg_l
1;Control;Y;Y;19/08/2024;454;193.8;µS/cm;193.80;7.33;31.149;28.641;0.063;3.574;3.574;31.212;32.216;mg/l;29/08/2024;Lucilla;DIC measured on 18/10/2024;22.6;0.5;0.45;0.156;0.0005;8.69;0.36;29.7;3.8;16.54;0.141;13.57;4.222;3.465;0.004;;0.481;
2;Eifelgold_50;Y;N;19/08/2024;454;122.1;µS/cm;122.10;7.54;27.458;24.95;3.49;7.001;7.001;30.948;31.952;mg/l;29/08/2024;Lucilla;DIC measured on 18/10/2024;37.2;0.7;0.74;0.159;0.0005;1.80;0.56;16.2;1.5;11.79;0.094;7.920;3.288;4.648;0.003;;0.333;
3;Huhnerberg_02;N;Y;19/08/2024;454;224.8;µS/cm;224.80;7.33;60.442;57.934;2.979;6.49;6.49;63.421;64.425;mg/l;29/08/2024;Lucilla;DIC measured on 18/10/2024;47.3;0.9;0.95;0.241;0.0013;5.63;0.47;38.3;5.7;13.64;0.362;31.40;3.598;6.818;0.006;;0.783;
4;Bolsdorfer_50;Y;N;19/08/2024;454;234.7;µS/cm;234.70;7.26;20.892;18.384;1.231;4.742;4.742;22.123;23.127;mg/l;29/08/2024;Lucilla;DIC measured on 18/10/2024;25.6;0.5;0.51;0.145;0.00001;14.14;0.43;22.3;4.1;14.36;0.096;21.05;4.411;8.603;0.003;;0.318;
5;Huhnerberg_04;N;Y;19/08/2024;454;150.5;µS/cm;150.50;7.19;25.802;23.294;-0.51;3.001;3.001;25.292;26.296;mg/l;29/08/2024;Lucilla;DIC measured on 18/10/2024;23.7;0.5;0.47;0.113;0.0010;7.24;0.79;20.7;1.5;14.50;0.102;8.658;4.894;2.193;0.003;;0.356;
6;Lime_02;Y;N;19/08/2024;454;260.1;µS/cm;260.10;7.19;26.641;24.133;2.131;5.642;5.642;28.772;29.776;mg/l;29/08/2024;Lucilla;DIC measured on 18/10/2024;31.7;0.6;0.63;0.105;0.0006;14.08;0.74;23.3;7.5;19.85;0.073;20.50;5.648;6.299;0.004;;0.187;
7;Huhnerberg_08;N;Y;19/08/2024;454;167.3;µS/cm;167.30;6.92;21.96;19.452;0.915;4.426;4.426;22.875;23.879;mg/l;29/08/2024;Lucilla;DIC measured on 18/10/2024;25.8;0.5;0.52;0.151;0.0012;8.49;0.26;18.9;1.5;15.65;0.089;10.32;4.144;2.307;0.004;;0.307;
8;Huhnerberg_12;N;Y;19/08/2024;454;171.9;µS/cm;171.90;7.1;24.669;22.161;1.873;5.384;5.384;26.542;27.546;mg/l;29/08/2024;Lucilla;DIC measured on 18/10/2024;34.1;0.7;0.68;0.162;0.0009;7.62;0.47;20.1;1.5;13.60;0.122;16.28;3.857;2.799;0.005;;0.321;
9;Huhnerberg_50;Y;Y;19/08/2024;454;141.6;µS/cm;141.60;7;14.813;12.305;5.525;9.036;9.036;20.338;21.342;mg/l;29/08/2024;Lucilla;DIC measured on 18/10/2024;31.0;0.6;0.62;0.258;0.0006;7.29;0.70;11.2;1.5;12.27;0.070;10.21;3.567;1.960;0.002;;0.244;
10;Lime_02;Y;N;19/08/2024;454;167.2;µS/cm;167.20;7.14;17.272;14.764;2.466;5.977;5.977;19.738;20.742;mg/l;29/08/2024;Lucilla;DIC measured on 18/10/2024;31.1;0.6;0.62;0.155;0.0013;8.95;0.38;13.9;1.5;15.47;0.066;11.79;4.087;1.621;0.003;;0.229;
11;Control;Y;Y;19/08/2024;454;230.6;µS/cm;230.60;7.05;25.635;23.127;1.173;4.684;4.684;26.808;27.812;mg/l;29/08/2024;Lucilla;DIC measured on 18/10/2024;29.2;0.6;0.58;0.131;0.00001;14.13;0.29;23.6;1.5;21.53;0.097;15.37;6.000;2.103;0.004;;0.270;
12;Huhnerberg_20;N;Y;19/08/2024;454;209.4;µS/cm;209.40;6.96;45.298;42.79;5.046;8.557;8.557;50.344;51.348;mg/l;29/08/2024;Lucilla;DIC measured on 18/10/2024;49.7;1.0;0.99;0.199;0.0008;7.66;0.50;27.1;1.5;13.80;0.232;25.06;4.234;5.141;0.009;;0.531;
13;Eifelgold_50;Y;N;19/08/2024;454;183.2;µS/cm;183.20;7.02;20.546;18.038;2.142;5.653;5.653;22.688;23.692;mg/l;29/08/2024;Lucilla;DIC measured on 18/10/2024;28.9;0.6;0.58;0.297;0.0004;10.66;0.66;14.8;1.5;11.35;0.113;21.01;3.470;2.541;0.003;;0.301;
14;Huhnerberg_50;Y;Y;19/08/2024;454;231.8;µS/cm;231.80;7.18;23.076;20.568;2.789;6.3;6.3;25.865;26.869;mg/l;29/08/2024;Lucilla;DIC measured on 18/10/2024;36.2;0.7;0.72;0.208;0.0005;9.93;0.35;32.8;5.7;25.52;0.094;10.42;6.447;3.614;0.003;;0.134;
15;Bolsdorfer_50;Y;N;19/08/2024;454;186.6;µS/cm;186.60;5.59;27.844;25.336;1.736;5.247;5.247;29.58;30.584;mg/l;29/08/2024;Lucilla;DIC measured on 18/10/2024;35.4;0.7;0.71;0.127;0.0008;8.27;0.61;21.1;1.5;14.03;0.161;19.94;3.171;4.485;0.004;;0.281;
16;Huhnerberg_30;N;Y;19/08/2024;454;151.6;µS/cm;151.60;7.37;13.477;10.969;5.736;9.247;9.247;19.213;20.217;mg/l;29/08/2024;Lucilla;DIC measured on 18/10/2024;44.4;0.9;0.89;0.129;0.0008;5.57;0.81;11.2;1.5;15.21;0.080;11.01;3.995;1.929;0.004;;0.101;
17;Lime_02;Y;N;19/08/2024;454;101.9;µS/cm;101.90;7.17;19.135;16.627;0.132;3.643;3.643;19.266;20.27;mg/l;29/08/2024;Lucilla;DIC measured on 18/10/2024;23.4;0.5;0.47;0.091;0.00001;3.10;0.96;14.6;1.5;11.09;0.152;5.815;2.884;1.591;0.004;;0.228;
18;Control;Y;Y;19/08/2024;454;171.5;µS/cm;171.50;6.95;18.311;15.803;-0.159;3.352;3.352;18.152;19.156;mg/l;29/08/2024;Lucilla;DIC measured on 18/10/2024;24.1;0.5;0.48;0.131;0.0005;10.17;2.19;16.1;1.5;15.48;0.106;10.86;5.076;1.378;0.003;;0.188;
19;Huhnerberg_50;Y;Y;19/08/2024;454;204.3;µS/cm;204.30;6.68;18.634;16.126;2.335;5.846;5.846;20.97;21.974;mg/l;29/08/2024;Lucilla;DIC measured on 18/10/2024;28.9;0.6;0.58;0.485;0.0003;11.69;0.70;18.1;3.6;12.50;0.130;21.83;4.483;2.594;0.003;;0.231;
20;Bolsdorfer_50;Y;N;19/08/2024;454;157.1;µS/cm;157.10;6.97;20.227;17.719;0.448;3.959;3.959;20.675;21.679;mg/l;29/08/2024;Lucilla;DIC measured on 18/10/2024;21.5;0.4;0.43;0.157;0.0003;6.84;0.57;18.9;4.8;11.56;0.148;14.87;3.263;2.392;0.003;;0.275;
21;Eifelgold_50;Y;N;19/08/2024;454;156.3;µS/cm;156.30;7.11;31.046;28.538;1.364;4.875;4.875;32.41;33.414;mg/l;29/08/2024;Lucilla;DIC measured on 18/10/2024;30.0;0.6;0.60;0.162;0.0002;4.31;0.56;25.3;3.1;13.07;0.203;14.14;3.569;4.187;0.005;;0.339;
1;Control;Y;Y;23/09/2024;489;184.6;µS/cm;184.60;5.75;12.934;10.426;-1.128;2.383;2.383;11.806;12.81;mg/l;27/09/2024;Lucilla;DIC measured on 18/10/2024;20.2;0.4;0.4;0.061;0.0003;8.23;0.32;12.6;3.8;13.33;0.069;8.47;3.653;2.163;0.002;;0.277;
2;Eifelgold_50;Y;N;23/09/2024;489;126.9;µS/cm;126.90;7.05;20.76;18.252;0.911;4.422;4.422;21.671;22.675;mg/l;27/09/2024;Lucilla;DIC measured on 18/10/2024;21.6;0.4;0.4;0.082;0.0002;3.51;0.50;18.8;3.0;13.18;0.089;8.389;3.474;4.132;0.003;;0.320;
3;Huhnerberg_02;N;Y;23/09/2024;489;204.7;µS/cm;204.70;7.02;17.799;15.291;0.05;3.561;3.561;17.849;18.853;mg/l;27/09/2024;Lucilla;DIC measured on 18/10/2024;14.9;0.3;0.3;0.115;0.0001;9.76;0.26;21.4;9.1;19.33;0.079;15.73;5.643;3.676;0.003;;0.270;
4;Bolsdorfer_50;Y;N;23/09/2024;489;223.7;µS/cm;223.70;7.26;20.869;18.361;0.306;3.817;3.817;21.175;22.179;mg/l;27/09/2024;Lucilla;DIC measured on 18/10/2024;16.9;0.3;0.3;0.109;0.0001;11.10;0.48;30.2;3.0;12.63;0.098;24.19;3.379;10.836;0.003;;0.337;
5;Huhnerberg_04;N;Y;23/09/2024;489;140;µS/cm;140.00;7.43;12.211;9.703;-0.132;3.379;3.379;12.079;13.083;mg/l;27/09/2024;Lucilla;DIC measured on 18/10/2024;11.8;0.2;0.2;0.043;0.0001;7.86;0.39;11.9;1.5;12.35;0.070;11.659;3.659;1.843;0.003;;0.212;
6;Lime_02;Y;N;23/09/2024;489;298.4;µS/cm;298.40;7.17;19.51;17.002;-0.654;2.857;2.857;18.855;19.859;mg/l;27/09/2024;Lucilla;DIC measured on 18/10/2024;10.6;0.2;0.2;0.096;0.0002;23.91;0.66;26.4;5.0;23.46;0.071;24.97;8.457;3.420;0.004;;0.206;
7;Huhnerberg_08;N;Y;23/09/2024;489;213;µS/cm;213.00;6.81;14.974;12.466;0.044;3.555;3.555;15.018;16.022;mg/l;27/09/2024;Lucilla;DIC measured on 18/10/2024;11.2;0.2;0.2;0.183;0.0001;14.92;0.28;16.5;3.0;18.84;0.070;16.43;5.755;1.859;0.002;;0.258;
8;Huhnerberg_12;N;Y;23/09/2024;489;178.3;µS/cm;178.30;7.11;17.924;15.416;-0.324;3.187;3.187;17.6;18.604;mg/l;27/09/2024;Lucilla;DIC measured on 18/10/2024;12.0;0.2;0.2;0.124;0.0001;10.73;0.40;16.9;1.5;13.50;0.113;18.72;4.223;2.672;0.003;;0.315;
9;Huhnerberg_50;Y;Y;23/09/2024;489;204.2;µS/cm;204.20;6.76;16.363;13.855;-0.706;2.805;2.805;15.658;16.662;mg/l;27/09/2024;Lucilla;DIC measured on 18/10/2024;11.2;0.2;0.2;0.148;0.0001;14.50;0.62;14.9;3.8;17.13;0.091;17.86;5.047;2.612;0.004;;0.311;
10;Lime_02;Y;N;23/09/2024;489;135.4;µS/cm;135.40;7.36;15.855;13.347;2.296;5.807;5.807;18.15;19.154;mg/l;27/09/2024;Lucilla;DIC measured on 18/10/2024;23.5;0.5;0.5;0.107;0.0001;5.63;0.42;13.4;1.5;13.44;0.062;11.80;3.377;1.977;0.003;;0.216;
11;Control;Y;Y;23/09/2024;489;171.9;µS/cm;171.90;7.17;16.806;14.298;1.196;4.707;4.707;18.001;19.005;mg/l;27/09/2024;Lucilla;DIC measured on 18/10/2024;21.6;0.4;0.4;0.098;0.0001;10.12;0.32;14.7;1.5;15.80;0.085;14.61;4.506;1.908;0.004;;0.230;
12;Huhnerberg_20;N;Y;23/09/2024;489;179.1;µS/cm;179.10;7.05;19.074;16.566;0.096;3.607;3.607;19.17;20.174;mg/l;27/09/2024;Lucilla;DIC measured on 18/10/2024;21.3;0.4;0.4;0.083;0.0001;9.58;0.48;18.3;6.0;14.52;0.097;17.22;4.598;2.465;0.004;;0.322;
13;Eifelgold_50;Y;N;23/09/2024;489;168.2;µS/cm;168.20;7.18;20.987;18.479;0.78;4.291;4.291;21.767;22.771;mg/l;27/09/2024;Lucilla;DIC measured on 18/10/2024;25.7;0.5;0.5;0.289;0.0003;7.98;0.73;18.3;1.5;8.94;0.127;24.20;2.973;4.425;0.003;;0.341;
14;Huhnerberg_50;Y;Y;23/09/2024;489;246.2;µS/cm;246.20;7.37;24.089;21.581;2.297;5.808;5.808;26.386;27.39;mg/l;27/09/2024;Lucilla;DIC measured on 18/10/2024;34.3;0.7;0.7;0.094;0.0001;10.99;0.50;34.3;3.9;20.11;0.097;23.80;5.813;5.031;0.006;;0.194;
15;Bolsdorfer_50;Y;N;23/09/2024;489;200;µS/cm;200.00;7.14;19.054;16.546;0.64;4.151;4.151;19.693;20.697;mg/l;27/09/2024;Lucilla;DIC measured on 18/10/2024;26.4;0.5;0.5;0.066;0.0003;8.57;0.50;27.6;7.8;18.84;0.099;11.45;4.640;7.021;0.005;;0.197;
16;Huhnerberg_30;N;Y;23/09/2024;489;118.6;µS/cm;118.60;6.78;10.894;8.386;3.753;7.264;7.264;14.647;15.651;mg/l;27/09/2024;Lucilla;DIC measured on 18/10/2024;36.5;0.7;0.7;0.085;0.0004;3.19;0.79;9.6;1.5;13.46;0.066;8.02;3.145;1.141;0.002;;0.095;
17;Lime_02;Y;N;23/09/2024;489;112.9;µS/cm;112.90;7.18;15.146;12.638;0.438;3.949;3.949;15.584;16.588;mg/l;27/09/2024;Lucilla;DIC measured on 18/10/2024;24.8;0.5;0.5;0.122;0.0001;4.59;1.13;13.0;1.5;12.29;0.124;7.137;3.235;1.187;0.004;;0.214;
18;Control;Y;Y;23/09/2024;489;143.5;µS/cm;143.50;7.28;16.212;13.704;0.295;3.806;3.806;16.507;17.511;mg/l;27/09/2024;Lucilla;DIC measured on 18/10/2024;27.4;0.5;0.5;0.136;0.0001;7.28;1.44;13.9;3.3;12.63;0.110;14.17;3.374;1.513;0.005;;0.189;
19;Huhnerberg_50;Y;Y;23/09/2024;489;175.8;µS/cm;175.80;7;15.777;13.269;0.603;4.114;4.114;16.38;17.384;mg/l;27/09/2024;Lucilla;DIC measured on 18/10/2024;27.5;0.6;0.6;0.431;0.0001;9.85;0.71;16.9;3.6;12.16;0.129;20.33;3.961;2.196;0.003;;0.247;
20;Bolsdorfer_50;Y;N;23/09/2024;489;116.4;µS/cm;116.40;7.16;12.738;10.23;-0.021;3.49;3.49;12.717;13.721;mg/l;27/09/2024;Lucilla;DIC measured on 18/10/2024;23.3;0.5;0.5;0.106;0.0005;5.22;0.61;13.3;1.5;10.71;0.100;8.61;3.197;1.820;0.003;;0.190;
21;Eifelgold_50;Y;N;23/09/2024;489;168.2;µS/cm;168.20;7.43;24.581;22.073;1.833;5.344;5.344;26.413;27.417;mg/l;27/09/2024;Lucilla;DIC measured on 18/10/2024;30.2;0.6;0.6;0.088;0.0006;3.26;0.53;28.5;4.2;9.35;0.213;23.99;2.498;7.099;0.005;;0.295;
1;Control;Y;Y;10/12/2024;567;100.2;µS/cm;100.20;7.07;11.428;12.522;5.969;5.969;5.969;17.397;18.491;mg/l;12/12/2024;Lucilla;;26.8;0.5;;0.08;<0,0002;1.93;0.39;<4;4.7;6.40;0.063;12.09;1.640;3.347;0.002;;0.243;
2;Eifelgold_50;Y;N;10/12/2024;567;130.6;µS/cm;130.60;7.4;10.977;12.071;9.542;9.542;9.542;20.519;21.613;mg/l;12/12/2024;Lucilla;;44.6;0.9;;0.09;<0,0002;2.17;0.26;<4;3.9;9.88;0.056;12.134;2.502;5.575;0.002;;0.191;
3;Huhnerberg_02;N;Y;10/12/2024;567;163.1;µS/cm;163.10;7.73;17.712;18.806;10.401;10.401;10.401;28.113;29.207;mg/l;12/12/2024;Lucilla;;56.0;1.1;;0.10;<0,0002;2.54;0.52;<4;5.4;6.45;0.123;32.07;1.577;5.493;0.005;;0.313;
4;Bolsdorfer_50;Y;N;10/12/2024;567;170.7;µS/cm;170.70;7.48;15.604;16.698;14.537;14.537;14.537;30.141;31.235;mg/l;12/12/2024;Lucilla;;62.5;1.3;;0.18;<0,0002;1.36;0.26;5.2;5.3;9.60;0.091;17.47;2.993;10.736;0.002;;0.265;
5;Huhnerberg_04;N;Y;10/12/2024;567;87.35;µS/cm;87.35;7.21;11.507;12.601;4.048;4.048;4.048;15.555;16.649;mg/l;12/12/2024;Lucilla;;21.8;0.4;;0.04;<0,0002;1.85;0.55;<4;3.4;7.09;0.082;7.587;2.166;2.358;0.003;;0.264;
6;Lime_02;Y;N;10/12/2024;567;192;µS/cm;192.00;7.62;15.361;16.455;15.738;15.738;15.738;31.099;32.193;mg/l;12/12/2024;Lucilla;;69.2;1.4;;0.07;<0,0002;2.29;0.55;<4;4.9;16.10;0.107;21.30;3.743;5.821;0.004;;0.243;
7;Huhnerberg_08;N;Y;10/12/2024;567;99.98;µS/cm;99.98;7.09;18.56;19.654;4.911;4.911;4.911;23.471;24.565;mg/l;12/12/2024;Lucilla;;28.5;0.6;;0.07;<0,0002;2.14;0.23;<4;5.0;7.56;0.122;10.78;2.141;3.360;0.003;;0.509;
8;Huhnerberg_12;N;Y;10/12/2024;567;115.6;µS/cm;115.60;7.15;14.887;15.981;5.979;5.979;5.979;20.866;21.96;mg/l;12/12/2024;Lucilla;;30.4;0.6;;0.06;0.0003;2.88;0.35;<4;4.3;7.76;0.105;12.88;2.506;3.717;0.003;;0.327;
9;Huhnerberg_50;Y;Y;10/12/2024;567;175.7;µS/cm;175.70;7.73;11.309;12.403;10.662;10.662;10.662;21.971;23.065;mg/l;12/12/2024;Lucilla;;51.3;1.0;;0.09;0.0002;4.64;0.46;4.5;4.9;9.98;0.068;20.99;4.591;4.852;0.010;;0.145;
10;Lime_02;Y;N;10/12/2024;567;116.6;µS/cm;116.60;7.45;12.891;13.985;7.665;7.665;7.665;20.556;21.65;mg/l;12/12/2024;Lucilla;;41.1;0.8;;0.06;<0,0002;1.89;0.47;<4;4.6;10.40;0.052;11.02;3.037;2.241;0.002;;0.198;
11;Control;Y;Y;10/12/2024;567;112;µS/cm;112.00;7.31;17.221;18.315;5.31;5.31;5.31;22.531;23.625;mg/l;12/12/2024;Lucilla;;31.3;0.6;;0.09;0.0002;2.72;0.39;<4;4.0;6.73;0.111;16.80;1.824;4.002;0.003;;0.360;
12;Huhnerberg_20;N;Y;10/12/2024;567;103.9;µS/cm;103.90;7.41;16.533;17.627;4.243;4.243;4.243;20.776;21.87;mg/l;12/12/2024;Lucilla;;30.2;0.6;;0.14;0.0002;2.21;0.34;<4;5.6;8.14;0.114;11.51;2.511;2.468;0.004;;0.418;
13;Eifelgold_50;Y;N;10/12/2024;567;93.51;µS/cm;93.51;7.44;10.063;11.157;4.277;4.277;4.277;14.341;15.435;mg/l;12/12/2024;Lucilla;;30.7;0.6;;0.08;0.0003;1.83;0.42;<4;4.5;5.36;0.077;9.95;1.475;5.627;0.003;;0.231;
14;Huhnerberg_50;Y;Y;10/12/2024;567;148.4;µS/cm;148.40;7.59;10.743;11.837;10.453;10.453;10.453;21.196;22.29;mg/l;12/12/2024;Lucilla;;55.6;1.1;;0.11;<0,0002;2.97;0.28;<4;3.7;13.95;0.104;10.92;4.654;2.675;0.007;;0.137;
15;Bolsdorfer_50;Y;N;10/12/2024;567;208.5;µS/cm;208.50;7.68;17.828;18.922;17.233;17.233;17.233;35.061;36.155;mg/l;12/12/2024;Lucilla;;83.1;1.7;;0.10;<0,0002;2.68;0.55;<4;4.2;11.14;0.219;32.33;2.638;10.753;0.005;;0.319;
16;Huhnerberg_30;N;Y;10/12/2024;567;109.5;µS/cm;109.50;7.51;9.064;10.158;6.963;6.963;6.963;16.028;17.122;mg/l;12/12/2024;Lucilla;;31.1;0.6;;0.06;<0,0002;1.38;0.76;<4;3.3;8.47;0.059;10.42;2.111;3.807;0.003;;0.089;
17;Lime_02;Y;N;10/12/2024;567;95.65;µS/cm;95.65;7.41;11.499;12.593;4.178;4.178;4.178;15.677;16.771;mg/l;12/12/2024;Lucilla;;28.5;0.6;;0.06;0.0004;1.67;1.04;<4;4.9;6.41;0.091;11.717;1.540;3.224;0.002;;0.157;
18;Control;Y;Y;10/12/2024;567;115.2;µS/cm;115.20;7.1;8.844;9.938;5.876;5.876;5.876;14.72;15.814;mg/l;12/12/2024;Lucilla;;31.1;0.6;;0.05;0.0007;2.15;2.33;4.2;5.4;7.27;0.065;15.97;2.073;2.555;0.002;;0.124;
19;Huhnerberg_50;Y;Y;10/12/2024;567;112.7;µS/cm;112.70;7.53;7.981;9.075;5.605;5.605;5.605;13.586;14.68;mg/l;12/12/2024;Lucilla;;30.2;0.6;;0.08;0.0004;2.59;0.52;<4;3.1;6.69;0.072;11.59;2.701;3.606;0.005;;0.102;
20;Bolsdorfer_50;Y;N;10/12/2024;567;121.2;µS/cm;121.20;7.79;7.266;8.36;5.612;5.612;5.612;12.878;13.972;mg/l;12/12/2024;Lucilla;;33.4;0.7;;0.06;0.0011;3.22;0.40;4.9;3.3;5.26;0.060;16.39;1.364;6.728;0.002;;0.095;
21;Eifelgold_50;Y;N;10/12/2024;567;117.8;µS/cm;117.80;7.55;13.904;14.998;6.336;6.336;6.336;20.239;21.333;mg/l;12/12/2024;Lucilla;;38.7;0.8;;0.15;0.0009;2.28;0.27;4.9;<3;8.05;0.147;13.12;1.956;5.538;0.004;;0.243;
1;Control;Y;Y;14/11/2025;906;;;;;14.647;19.4655;1.106;3.55325;3.55325;15.753;23.01875;mg/l;21/11/2025;Teneille;;;;;;;;;;;;;;;;;;;
2;Eifelgold_50;Y;N;14/11/2025;906;;;;;;;;;;;;mg/l;21/11/2025;Teneille;not enough porewater;;;;;;;;;;;;;;;;;;
3;Huhnerberg_02;N;Y;14/11/2025;906;;;;;22.639;27.4575;3.952;6.39925;6.39925;26.591;33.85675;mg/l;21/11/2025;Teneille;;;;;;;;;;;;;;;;;;;
4;Bolsdorfer_50;Y;N;14/11/2025;906;;;;;30.202;35.0205;4.877;7.32425;7.32425;35.079;42.34475;mg/l;21/11/2025;Teneille;;;;;;;;;;;;;;;;;;;
5;Huhnerberg_04;N;Y;14/11/2025;906;;;;;11.684;16.5025;1.125;3.57225;3.57225;12.809;20.07475;mg/l;21/11/2025;Teneille;;;;;;;;;;;;;;;;;;;
6;Lime_02;Y;N;14/11/2025;906;;;;;27.54;32.3585;1.951;4.39825;4.39825;29.491;36.75675;mg/l;21/11/2025;Teneille;;;;;;;;;;;;;;;;;;;
7;Huhnerberg_08;N;Y;14/11/2025;906;;;;;12.202;17.0205;1.608;4.05525;4.05525;13.81;21.07575;mg/l;21/11/2025;Teneille;;;;;;;;;;;;;;;;;;;
8;Huhnerberg_12;N;Y;14/11/2025;906;;;;;12.949;17.7675;1.568;4.01525;4.01525;14.517;21.78275;mg/l;21/11/2025;Teneille;;;;;;;;;;;;;;;;;;;
9;Huhnerberg_50;Y;Y;14/11/2025;906;;;;;13.193;18.0115;1.872;4.31925;4.31925;15.066;22.33175;mg/l;21/11/2025;Teneille;;;;;;;;;;;;;;;;;;;
10;Lime_02;Y;N;14/11/2025;906;;;;;24.953;29.7715;-0.339;2.10825;2.10825;24.614;31.87975;mg/l;21/11/2025;Teneille;;;;;;;;;;;;;;;;;;;
11;Control;Y;Y;14/11/2025;906;;;;;9.366;14.1845;2.606;5.05325;5.05325;11.972;19.23775;mg/l;21/11/2025;Teneille;;;;;;;;;;;;;;;;;;;
12;Huhnerberg_20;N;Y;14/11/2025;906;;;;;10.549;15.3675;1.58;4.02725;4.02725;12.13;19.39575;mg/l;21/11/2025;Teneille;;;;;;;;;;;;;;;;;;;
13;Eifelgold_50;Y;N;14/11/2025;906;;;;;;4.8185;;2.44725;2.44725;;7.26575;mg/l;21/11/2025;Teneille;not enough porewater;;;;;;;;;;;;;;;;;;
14;Huhnerberg_50;Y;Y;14/11/2025;906;;;;;7.876;12.6945;5.136;7.58325;7.58325;13.013;20.27875;mg/l;21/11/2025;Teneille;;;;;;;;;;;;;;;;;;;
15;Bolsdorfer_50;Y;N;14/11/2025;906;;;;;23.961;28.7795;2.939;5.38625;5.38625;26.901;34.16675;mg/l;21/11/2025;Teneille;;;;;;;;;;;;;;;;;;;
16;Huhnerberg_30;N;Y;14/11/2025;906;;;;;21.403;26.2215;3.154;5.60125;5.60125;24.557;31.82275;mg/l;21/11/2025;Teneille;;;;;;;;;;;;;;;;;;;
17;Lime_02;Y;N;14/11/2025;906;;;;;6.142;10.9605;3.824;6.27125;6.27125;9.967;17.23275;mg/l;21/11/2025;Teneille;;;;;;;;;;;;;;;;;;;
18;Control;Y;Y;14/11/2025;906;;;;;9.352;14.1705;1.526;3.97325;3.97325;10.878;18.14375;mg/l;21/11/2025;Teneille;;;;;;;;;;;;;;;;;;;
19;Huhnerberg_50;Y;Y;14/11/2025;906;;;;;8.639;13.4575;1.659;4.10625;4.10625;10.298;17.56375;mg/l;21/11/2025;Teneille;;;;;;;;;;;;;;;;;;;
20;Bolsdorfer_50;Y;N;14/11/2025;906;;;;;3.961;8.7795;7.721;10.16825;10.16825;11.682;18.94775;mg/l;21/11/2025;Teneille;;;;;;;;;;;;;;;;;;;
21;Eifelgold_50;Y;N;14/11/2025;906;;;;;4.287;9.1055;4.684;7.13125;7.13125;8.971;16.23675;mg/l;21/11/2025;Teneille;;;;;;;;;;;;;;;;;;;
